,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_learning_rate,param_max_bins,param_max_depth,param_n_estimators,param_num_leaves,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
25,0.4548968315124512,0.05301104819142197,0.007173681259155273,0.0003311636501116367,0.9,0.9,0.001,20,6,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 20}",0.47207532685252374,0.5163228407608977,0.5218893618415195,0.5035587756966471,0.4360201392143692,0.48997328887319147,0.032027424040135935,90
14,0.6908679008483887,0.09054455901899335,0.009563159942626954,0.0017034964958495568,0.9,0.9,0.001,10,9,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 30}",0.4678974291396214,0.5142452504337648,0.5143779346754298,0.49326003981285227,0.437756599499706,0.4855074507122749,0.029358900749775537,91
82,4.523505163192749,0.32514282766067615,0.08960928916931152,0.005460325203165863,0.9,0.9,0.03,10,6,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 20}",0.5157330784488658,0.44332527618367756,0.5291141905602279,0.43245868736000914,0.5050599144399104,0.4851382293985382,0.039472169155828477,92
8,0.6519888401031494,0.08252206383288302,0.008251190185546875,0.0008783306153858985,0.9,0.9,0.001,10,6,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 30}",0.4659047670561075,0.5144938346074085,0.5129344982853381,0.49508731571337405,0.4353866316242033,0.48476140945728635,0.030258241945435835,93
7,0.4698915958404541,0.051610388532680185,0.007576656341552734,0.0009914510797108475,0.9,0.9,0.001,10,6,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 20}",0.457772402608287,0.5111085185978628,0.5098329598751568,0.49438227852004624,0.4320826436684302,0.4810357606539566,0.031142801680798624,94
13,0.5549880027770996,0.04999060849629767,0.007119178771972656,0.00180213957811751,0.9,0.9,0.001,10,9,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 20}",0.45808719601361647,0.5100615674457571,0.5100563936050294,0.4938867752525121,0.4318198235146459,0.4807823511663122,0.03097859641338977,95
76,2.1724487781524657,0.0945392366121397,0.04710311889648437,0.002925621420419898,0.9,0.9,0.03,10,3,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 20}",0.5274643709827027,0.4133649962718571,0.5076844745133835,0.4203448396639018,0.5313071501631537,0.4800331663189997,0.052250696983450536,96
77,2.1391425132751465,0.07375264614616706,0.050240087509155276,0.010666425993995846,0.9,0.9,0.03,10,3,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 30}",0.5274643709827027,0.4133649962718571,0.5076844745133835,0.4203448396639018,0.5313071501631537,0.4800331663189997,0.052250696983450536,96
75,2.027344846725464,0.026812854368032574,0.04884800910949707,0.00607897286133442,0.9,0.9,0.03,10,3,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 10}",0.5274643709827027,0.4133649962718571,0.5076844745133835,0.4203448396639018,0.5313071501631537,0.4800331663189997,0.052250696983450536,96
24,0.3058337211608887,0.02228473593841575,0.007502317428588867,0.001546616423410789,0.9,0.9,0.001,20,6,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 10}",0.45348499039035406,0.4965631533134337,0.4918858958260901,0.48594806565740767,0.42796946090156207,0.4711703132177695,0.026349185727266886,99
30,0.3100273609161377,0.027050714427690848,0.006097126007080078,0.0007037972110208857,0.9,0.9,0.001,20,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.45348499039035406,0.49640934788449875,0.49191846562953545,0.4859326418893596,0.42796946090156207,0.47114298133906196,0.02632299981543509,100
12,0.33285961151123045,0.025137638871856275,0.006531381607055664,0.0014017026510808616,0.9,0.9,0.001,10,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.4420835246757985,0.49292743254798665,0.4869027611203718,0.49083696320706005,0.4179404236382953,0.4661382210379025,0.03053035189497043,101
6,0.3000439167022705,0.018586942648833985,0.006438302993774414,0.0006192799921261886,0.9,0.9,0.001,10,6,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 10}",0.4420835246757985,0.4929216779542447,0.4869027611203718,0.49083696320706005,0.4179404236382953,0.4661370701191541,0.030529342078033993,102
19,0.23778295516967773,0.06224880313632069,0.005854368209838867,0.0008365516731395349,0.9,0.9,0.001,20,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.4415572714794248,0.4862370250234367,0.48552627433150397,0.47492064343654816,0.41130743237760004,0.4599097293297028,0.029235791068019008,103
18,0.22208080291748047,0.01723023779370413,0.007793426513671875,0.002252398405156835,0.9,0.9,0.001,20,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.4415572714794248,0.4862370250234367,0.48552627433150397,0.47492064343654816,0.41130743237760004,0.4599097293297028,0.029235791068019008,103
20,0.37624096870422363,0.2674388211357378,0.00544123649597168,0.0006066904570786614,0.9,0.9,0.001,20,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.4415572714794248,0.4862370250234367,0.48552627433150397,0.47492064343654816,0.41130743237760004,0.4599097293297028,0.029235791068019008,103
2,0.29877305030822754,0.2563938426949444,0.05228261947631836,0.08885952610531209,0.9,0.9,0.001,10,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.4286974307089584,0.4842702380682876,0.4802200203121667,0.48211774661534423,0.404518426580708,0.45596477245709305,0.03305670558099199,106
1,0.5252217292785645,0.5816109236535564,0.005881786346435547,0.0025278785179092193,0.9,0.9,0.001,10,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.4286974307089584,0.4842702380682876,0.4802200203121667,0.48211774661534423,0.404518426580708,0.45596477245709305,0.03305670558099199,106
0,0.2159719467163086,0.07240467979530912,0.004988479614257813,0.0007167963348225525,0.9,0.9,0.001,10,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.4286974307089584,0.4842702380682876,0.4802200203121667,0.48211774661534423,0.404518426580708,0.45596477245709305,0.03305670558099199,106
