,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_feature_fraction,param_learning_rate,param_max_bins,param_max_depth,param_n_estimators,param_num_leaves,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
15,3.1258948802948,0.18841451876912102,0.05468606948852539,0.004534254729491856,0.9,0.9,0.001,10,9,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 10}",0.5956429124184514,0.5699399493575167,0.6225326757765948,0.5912209940480119,0.5577571659573138,0.5874187395115776,0.02236246735291245,32
102,0.24721527099609375,0.019758937374534866,0.009741449356079101,0.003349204983170402,0.9,0.9,0.03,20,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.5938965495108293,0.5551284662811538,0.6351661192688476,0.571160994750981,0.5785728589484428,0.586784997752051,0.027221284928951824,33
72,0.25082969665527344,0.07053656083418315,0.008077716827392578,0.002442065298079199,0.9,0.9,0.03,10,3,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 10}",0.5884128895514256,0.56447122547559,0.6227766985942829,0.5829015392104355,0.5697199146363268,0.5856564534936122,0.020473823510559472,34
73,0.19995980262756347,0.02394715060980805,0.00884246826171875,0.0032038455385453796,0.9,0.9,0.03,10,3,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 20}",0.5884128895514256,0.56447122547559,0.6227766985942829,0.5829015392104355,0.5697199146363268,0.5856564534936122,0.020473823510559472,34
74,0.19236598014831544,0.011378945945001643,0.007439708709716797,0.0013906487792690687,0.9,0.9,0.03,10,3,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 1000, 'num_leaves': 30}",0.5884128895514256,0.56447122547559,0.6227766985942829,0.5829015392104355,0.5697199146363268,0.5856564534936122,0.020473823510559472,34
98,0.4762716770172119,0.049121896003507595,0.008801126480102539,0.0006650375654512958,0.9,0.9,0.03,20,6,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 30}",0.5928231672947719,0.5570844217288424,0.6267255767700021,0.5633870571914944,0.5655504072729798,0.5811141260516182,0.025889809137579895,37
97,0.4030972957611084,0.014037215356809562,0.010088729858398437,0.001683038102952528,0.9,0.9,0.03,20,6,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 20}",0.5965165488688144,0.545784116038994,0.6294535395950489,0.5643498736535304,0.5647069035432847,0.5801621963399345,0.02955621557601532,38
43,0.4594869136810303,0.018183240210376653,0.00930337905883789,0.0014671090424685249,0.9,0.9,0.01,10,6,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 20}",0.579782113084008,0.5611743536869984,0.6218966037682572,0.5664269843216485,0.5609236458363707,0.5780407401394566,0.022972672408320464,39
103,0.4241669178009033,0.022867116260050762,0.008404397964477539,0.0007924366284818107,0.9,0.9,0.03,20,9,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 20}",0.5937427306325633,0.5388076157828456,0.6242823151192265,0.5664238165266564,0.5635873332309324,0.5773687622584448,0.02920845741549102,40
10,4.517176008224487,0.2020039678174903,0.07776947021484375,0.0010313121253982462,0.9,0.9,0.001,10,6,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 20}",0.5834538445328368,0.5604798872300576,0.6185654176790905,0.5642836938766169,0.556096085802205,0.5765757858241614,0.02297837445904448,41
44,0.5259246826171875,0.07151686815958883,0.009464454650878907,0.0015375224565623593,0.9,0.9,0.01,10,6,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 30}",0.5836462685121461,0.5581131541762918,0.6171834564164923,0.557546345403623,0.5619039576920278,0.5756786364401163,0.022861326130006042,42
49,0.5527812004089355,0.043821841279705356,0.00792851448059082,0.0008963783795459126,0.9,0.9,0.01,10,9,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 20}",0.5887885834508324,0.559233464226819,0.6193904595147003,0.5559346155538425,0.552011117396313,0.5750716480285013,0.025695032671859973,43
57,2.8423972129821777,0.47358176668686314,0.053684568405151366,0.0027767518116876846,0.9,0.9,0.01,20,3,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 10}",0.587688604495252,0.5441172634175595,0.621691792275191,0.5416998828786099,0.5786448353079471,0.5747684756749118,0.029721312810445436,44
59,2.24257493019104,0.10386286766819205,0.04589776992797852,0.0018183408699104142,0.9,0.9,0.01,20,3,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 30}",0.587688604495252,0.5441172634175595,0.621691792275191,0.5416998828786099,0.5786448353079471,0.5747684756749118,0.029721312810445436,44
58,2.298411226272583,0.20703617047653494,0.056911039352416995,0.01822694313038874,0.9,0.9,0.01,20,3,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 20}",0.587688604495252,0.5441172634175595,0.621691792275191,0.5416998828786099,0.5786448353079471,0.5747684756749118,0.029721312810445436,44
11,5.148844432830811,0.560220689740907,0.09366469383239746,0.007666516127810413,0.9,0.9,0.001,10,6,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 30}",0.583810368504355,0.558274054168749,0.616400377508933,0.5567552045678338,0.5554953161841462,0.5741470641868033,0.023584057617914232,47
16,5.725284385681152,0.2133561391813156,0.10577855110168458,0.019172487545288896,0.9,0.9,0.001,10,9,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 20}",0.5791754234506645,0.5519989770691024,0.6203588014005441,0.5612457372973472,0.5568795131624902,0.5739316904760297,0.024962882208915557,48
78,0.25861325263977053,0.04418810357877364,0.007728958129882812,0.0014004198392401112,0.9,0.9,0.03,10,6,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 10}",0.5877932303075675,0.5416509506867979,0.6023803872965101,0.5575528397333218,0.5649925897717182,0.5708739995591832,0.021656147870588192,49
104,0.6072033405303955,0.057424947788108784,0.010847949981689453,0.0014898840120743185,0.9,0.9,0.03,20,9,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 30}",0.5985091423748039,0.5229846084467893,0.6217592984607554,0.5569589801792592,0.5536853909948414,0.5707794840912899,0.035029815605313715,50
84,0.29416909217834475,0.017674605829859927,0.008934879302978515,0.002611475783347187,0.9,0.9,0.03,10,9,1000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 10}",0.5820161863341832,0.5414798630939965,0.6066325946149536,0.5567862246597408,0.5580886411730135,0.5690007019751775,0.02285268157794405,51
50,0.654362154006958,0.06056372936692659,0.010132884979248047,0.0011604561938560031,0.9,0.9,0.01,10,9,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 30}",0.5809755490905855,0.5502996628462279,0.6033140650698359,0.5552543741726129,0.5491198284282021,0.567792695921493,0.02120116498083752,52
17,6.591403341293335,0.4496449813759053,0.10707359313964844,0.00458625360037368,0.9,0.9,0.001,10,9,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.001, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 30}",0.5817279147693859,0.5492299596156694,0.5978308808756309,0.5490165108420515,0.5468129547248808,0.5649236441655237,0.020940847336052667,53
69,3.4431675910949706,0.4584859802133777,0.0632054328918457,0.008076743735497844,0.9,0.9,0.01,20,9,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 10}",0.5791939170355984,0.508970787678277,0.6183959463727131,0.5428480965112688,0.5618129382635814,0.5622443371722877,0.03648222253599541,54
70,4.327329397201538,0.04695053573716366,0.0872467041015625,0.0032498887307395533,0.9,0.9,0.01,20,9,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 20}",0.5843333069891439,0.5131978792016816,0.6137496271338011,0.5377283303898759,0.5478777437261741,0.5593773774881353,0.03553198229117083,55
63,3.9148860931396485,0.7924799969029751,0.06110200881958008,0.0087408495530453,0.9,0.9,0.01,20,6,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 10}",0.5770150234884982,0.5010408002490496,0.6154162158314018,0.5315109171713377,0.5622218429737542,0.5574409599428083,0.03903966248113825,56
107,7.052000284194946,1.3069455129490721,0.13310685157775878,0.02375829769199182,0.9,0.9,0.03,20,9,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 30}",0.5823568259486999,0.49378579300950554,0.6074342786658098,0.5355994134738513,0.5379012764425752,0.5514155175080884,0.03962179999405394,57
71,7.232761383056641,1.1289544091304964,0.12718524932861328,0.02466534067288025,0.9,0.9,0.01,20,9,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 30}",0.581182817024277,0.49759671091359947,0.6010715492638179,0.5302093710667197,0.5432930505287882,0.5506706997594404,0.03677275867485765,58
64,4.148766088485718,0.20477770334769585,0.083685302734375,0.0017285278885805881,0.9,0.9,0.01,20,6,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 20}",0.5694906901066977,0.5036996820171834,0.6032479112001514,0.5349460920116078,0.541099176706737,0.5504967104084756,0.033655780151991416,59
65,4.2477967739105225,0.24913156041120202,0.08740367889404296,0.00540409476312689,0.9,0.9,0.01,20,6,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 30}",0.5669662193430149,0.509453505807796,0.6125379789019687,0.5162483608778125,0.5412043966794964,0.5492820923220176,0.03756814719746587,60
41,3.009365272521973,0.5101948004833572,0.05399165153503418,0.008825524684213569,0.9,0.9,0.01,10,3,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 30}",0.5778195077336943,0.4993015562127787,0.5798225766001457,0.5170427609995394,0.5675678402551445,0.5483108483602606,0.03350876224367667,61
40,2.270514488220215,0.03495926723822799,0.04704804420471191,0.003080915848174816,0.9,0.9,0.01,10,3,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 20}",0.5778195077336943,0.4993015562127787,0.5798225766001457,0.5170427609995394,0.5675678402551445,0.5483108483602606,0.03350876224367667,61
39,2.3414139270782472,0.0740171656086803,0.050365352630615236,0.003985261830678001,0.9,0.9,0.01,10,3,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.01, 'max_bins': 10, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 10}",0.5778195077336943,0.4993015562127787,0.5798225766001457,0.5170427609995394,0.5675678402551445,0.5483108483602606,0.03350876224367667,61
106,5.155406188964844,0.6837798067761417,0.08787894248962402,0.006709781580130191,0.9,0.9,0.03,20,9,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 20}",0.5656876098218548,0.4976794455358724,0.6031427429615388,0.5298643951587595,0.5394226529285469,0.5471593692813145,0.0354532638548993,64
101,4.989720106124878,0.8883965417819889,0.09610366821289062,0.007689259297014803,0.9,0.9,0.03,20,6,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 30}",0.5599578788597492,0.5044002113064368,0.5959868508343634,0.5264743429956475,0.539185006468676,0.5452008580929746,0.0311401744930732,65
85,0.46026058197021485,0.02582351027827328,0.00858478546142578,0.0018553557991914248,0.9,0.9,0.03,10,9,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 20}",0.5667926756415027,0.5023068023625628,0.5780057940470787,0.5198168159108856,0.5414693327522195,0.5416782841428498,0.028208160761402947,66
99,3.284012460708618,0.3078396433248945,0.05530190467834473,0.0025457908782548846,0.9,0.9,0.03,20,6,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 10}",0.5567702053108926,0.4871392924028669,0.600570616086906,0.5181106817217329,0.5346531676347619,0.5394487926314321,0.03808019288343972,67
100,5.20214958190918,0.544645542616851,0.10396728515625,0.030321729604753073,0.9,0.9,0.03,20,6,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 6, 'n_estimators': 10000, 'num_leaves': 20}",0.559764906182364,0.4881597172772566,0.5972478948668465,0.5162837122989292,0.5343058125526283,0.539152408635605,0.03727380290031567,68
79,0.4006336212158203,0.02770363304875893,0.010849666595458985,0.004525381693955786,0.9,0.9,0.03,10,6,1000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 20}",0.5620845029848672,0.5096917670667419,0.5793033676123442,0.5036578468157118,0.5409522951745485,0.5391379559308428,0.02921989844465652,69
105,3.316680908203125,0.6134544734602276,0.05553569793701172,0.005535685726086322,0.9,0.9,0.03,20,9,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 9, 'n_estimators': 10000, 'num_leaves': 10}",0.5456731933833283,0.48379835323193676,0.6031649124023142,0.510931239382225,0.5431540828199668,0.5373443562439542,0.040000738105421034,70
80,0.43605709075927734,0.030302808409825868,0.008892154693603516,0.0012328553637578298,0.9,0.9,0.03,10,6,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 6, 'n_estimators': 1000, 'num_leaves': 30}",0.5551116320010456,0.499897596221098,0.5870079264797039,0.4865705029116343,0.5445446882257841,0.5346264691678531,0.0368165738348029,71
86,0.6159606456756592,0.0547817223475418,0.010403299331665039,0.0016505387761765328,0.9,0.9,0.03,10,9,1000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 10, 'max_depth': 9, 'n_estimators': 1000, 'num_leaves': 30}",0.5594387314607783,0.47629673860286026,0.5793021536114018,0.51141076809357,0.5248392216944044,0.530257522692603,0.036202881463596535,72
93,2.3101886749267577,0.13451065007908944,0.046529722213745114,0.0019934225127965213,0.9,0.9,0.03,20,3,10000,10,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 10}",0.5546685319220304,0.4937025841313487,0.5771774798441909,0.48145382787485336,0.5378808509583133,0.5289766549461474,0.03623632413673985,73
94,2.2476172924041746,0.11902905299295968,0.051235628128051755,0.003846030685656511,0.9,0.9,0.03,20,3,10000,20,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 20}",0.5546685319220304,0.4937025841313487,0.5771774798441909,0.48145382787485336,0.5378808509583133,0.5289766549461474,0.03623632413673985,73
95,2.8914205551147463,0.42486477395217553,0.06845817565917969,0.01800999516287157,0.9,0.9,0.03,20,3,10000,30,"{'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'learning_rate': 0.03, 'max_bins': 20, 'max_depth': 3, 'n_estimators': 10000, 'num_leaves': 30}",0.5546685319220304,0.4937025841313487,0.5771774798441909,0.48145382787485336,0.5378808509583133,0.5289766549461474,0.03623632413673985,73
